Price,Area,Location,No. of Bedrooms,Is_New,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price per sq ft.,Total Amenities
7500000,1100,Kharghar,2,Old,0,1,1,1,1,0,0,1,0,0,0,1,1,"6,818",7
13000000,1550,Sector 20 Kharghar,3,Old,1,1,1,1,1,1,1,1,0,0,0,0,1,"8,387",9
16200000,1675,Kharghar,3,New,1,1,1,1,1,1,1,0,1,1,0,1,1,"9,672",11
11000000,1060,Kharghar,2,Old,0,0,1,0,0,0,0,1,0,0,0,0,0,"10,377",2
11600000,1150,Kharghar,2,Old,1,1,1,0,1,1,1,0,1,1,0,1,1,"10,087",10
5600000,670,Kharghar,1,Old,1,1,1,0,1,1,1,0,1,0,0,1,1,"8,358",9
8000000,900,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,1,1,1,"8,889",12
9500000,1088,Kharghar,2,Old,1,1,1,1,1,1,0,1,1,0,0,1,0,"8,732",9
2018000,375,Dombivali,1,New,0,0,0,0,1,0,0,0,0,0,0,0,0,"5,381",1
65000000,1200,Churchgate,2,Old,0,1,0,0,0,0,0,0,0,0,0,0,0,"54,167",1
45000000,1717,Prabhadevi,3,New,1,0,0,0,0,1,0,0,0,0,0,0,0,"26,209",2
16500000,750,Jogeshwari West,2,Old,0,1,1,0,0,0,0,0,0,0,0,0,0,"22,000",2
2375000,525,Kalyan East,1,Old,1,0,1,0,1,1,1,1,1,1,0,0,1,"4,524",9
19500000,1200,Malad East,2,New,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,250",0
2000000,420,Virar East,1,New,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,762",0
2500000,540,Virar East,1,Old,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,630",0
2250000,415,Virar East,1,New,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,422",0
2700000,650,Virar,1,New,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,154",0
22000000,1100,Malad West,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"20,000",12
17000000,1105,Borivali East,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"15,385",12
43500000,2600,Malad East,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"16,731",12
4760000,700,Mira Road East,1,New,1,1,1,1,0,1,0,0,0,0,0,0,0,"6,800",5
18100000,1296,Goregaon West,2,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"13,966",12
23800000,1638,Goregaon West,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"14,530",12
21200000,1465,Goregaon West,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"14,471",12
8600000,700,Borivali East,1,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"12,286",12
36500000,2030,Goregaon West,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"17,980",12
23700000,1450,Malad West,3,New,1,1,1,0,1,1,1,0,1,0,0,1,1,"16,345",9
21400000,1100,Malad West,2,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"19,455",12
12500000,800,Kandivali West,2,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"15,625",12
18000000,1500,Kandivali West,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"12,000",12
13200000,1100,Kandivali West,2,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"12,000",12
35300000,1962,Kandivali West,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"17,992",12
15300000,950,Borivali East,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"16,105",12
25000000,1440,Kandivali West,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"17,361",12
13899999,1200,Kandivali West,2,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"11,583",12
33500000,1785,Borivali West,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"18,768",12
14500000,775,Goregaon West,2,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"18,710",12
9000000,765,Kandivali West,1,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"11,765",12
13500000,910,Goregaon West,2,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"14,835",12
9000000,640,Goregaon West,1,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"14,063",12
21600000,1264,Malad East,2,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"17,089",12
13700000,1056,Kandivali West,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"12,973",12
27799999,1810,Kandivali East,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"15,359",12
27900000,1656,Goregaon West,3,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"16,848",12
81600000,3888,Goregaon West,4,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"20,988",12
38600000,2030,Borivali West,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"19,015",12
17000000,1114,Andheri East,3,New,1,1,1,0,0,1,1,1,1,0,0,1,1,"15,260",9
60100000,3585,Goregaon West,4,New,1,1,1,1,1,0,1,1,1,1,0,1,1,"16,764",11
27900000,1404,Goregaon East,2,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"19,872",12
31500000,1620,Goregaon East,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"19,444",12
37500000,2780,Malad East,4,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"13,489",12
31000000,1672,Malad East,3,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"18,541",12
21100000,1200,Malad East,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"17,583",12
16500000,1200,Malad East,2,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"13,750",12
16000000,1250,Borivali East,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"12,800",12
26000000,1840,Borivali East,3,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"14,130",12
15200000,1170,Malad West,2,Old,1,1,1,0,1,1,1,1,1,0,0,1,1,"12,991",10
2300000,310,Kharghar,1,Old,0,0,0,1,1,0,0,0,0,0,0,0,0,"7,419",2
33000000,1245,Wadala,3,Old,1,1,1,0,1,1,1,1,1,0,1,1,1,"26,506",11
29000000,1153,Wadala,3,Old,1,1,1,0,1,1,1,1,1,0,1,1,1,"25,152",11
11200000,573,Ulwe,2,New,1,1,1,1,1,1,1,1,1,0,0,1,1,"19,546",11
9000000,1100,Ulwe,2,Old,1,1,1,0,1,1,1,1,1,0,0,1,1,"8,182",10
8500000,1135,Ulwe,2,Old,1,1,1,0,1,1,1,1,0,1,0,1,1,"7,489",10
9000000,1060,Kharghar,2,Old,1,1,1,0,1,1,1,1,1,1,0,1,1,"8,491",11
11500000,560,Malad West,1,Old,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,536",0
12100000,1150,Dahisar,2,New,1,1,1,0,1,1,0,1,0,0,0,1,1,"10,522",8
11000000,1054,kandivali,2,New,1,1,1,0,1,1,1,0,1,0,0,1,1,"10,436",9
27000000,1695,Goregaon,3,New,1,1,1,0,1,1,1,1,0,1,0,1,1,"15,929",10
21600000,1579,Goregaon,3,New,1,1,1,0,1,1,1,0,1,1,0,1,1,"13,680",10
30200000,2153,Goregaon,3,New,1,1,1,0,1,1,1,1,1,1,0,1,1,"14,027",11
41200000,1872,Goregaon,4,New,1,1,1,0,1,1,1,1,1,0,0,1,1,"22,009",10
30500000,1717,Goregaon,3,New,1,1,1,0,1,1,1,1,1,0,0,1,1,"17,764",10
36700000,1675,Goregaon East,4,New,1,1,1,1,1,1,1,1,1,0,0,1,1,"21,910",11
23800000,1672,Malad East,3,New,1,1,1,1,1,1,1,1,1,1,0,1,1,"14,234",12
20500000,1457,Malad East,3,New,1,1,1,0,1,0,0,0,1,0,0,0,1,"14,070",6
5500000,425,Bhandup West,1,Old,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,941",0
9000000,560,thakur village kandivali east,1,Old,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,071",0
32500000,1200,Santacruz West,2,Old,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,083",0
8500000,575,Kanjurmarg,1,Old,1,1,1,0,1,0,1,0,0,0,1,1,1,"14,783",8
9000000,400,Borivali East,1,Old,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,500",0
2500000,300,Kandivali East,1,New,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,333",0
